good|adj. 好的
morning|n. 早晨；上午
good morning|早上好
hi|interj. （用于打招呼）嗨；喂
hello|interj. 你好；喂
afternoon|n. 下午
good afternoon|下午好
evening|n. 晚上；傍晚
good evening|晚上好
how|adv. 怎样；如何
are|v. 是
you|pron. 你；你们
how are you|你好吗
I|pron. 我
am|v. 是
fine|adj. 健康的；美好的
thanks|interj. & n. 感谢；谢谢
OK|interj. & adv. 好；可以
HB|（铅笔芯）硬黑
CD|光盘；激光唱片
BBC|英国广播公司
what|pron. & adj. 什么
is|v. 是
this|pron. 这；这个
in|prep. （表示使用语言、材料等）用；以
English|n. 英语 adj. 英格兰的； 英语的
in English|用英语
map|n. 地图
cup|n. 杯子
ruler|n. 尺子；直尺
pen|n. 笔；钢笔
orange|n. 橙子
jacket|n. 夹克衫；短上衣
key|n. 钥匙
quilt|n. 被子；床罩
a|art.一（人、事、物）
that|pron. 那；那个
spell|v. 用字母拼；拼写
please|interj. （用于客气地请求或吩咐）请
NBA|（美国）全国篮球协会
P|停车场；停车位
kg|千克；公斤
it|pron. 它
color|n. ( = colour) 颜色
red|adj. & n. 红色(的)
yellow|adj. & n. 黄色(的)
green|adj. & n. 绿色(的)
blue|adj.& n. 蓝色(的)
black|adj. & n. 黑色(的)
white|adj. & n. 白色(的)
purple|adj. & n. 紫色(的)
brown|adj. & n. 棕色(的)；褐色(的)
the|art. 指已提到或易领会到的人或事物
now|adv. 现在；目前
see|v. 理解；明白
can|modal v. 能；会
say|v. 说；讲
my|pron. 我的
UFO|不明飞行物
CCTV|中国中央电视台
name|n. 名字；名称
nice|adj. 令人愉快的；宜人的
to|常用于原形动词之前，表示该动词为不定式
meet|v. 遇见；相逢
too|adv. 也；又；太
your|pron. 你的；你们的
Ms.|女士
and|conj. 和；又；而
her|pron. 她的
yes|interj. 是的；可以
she|pron. 她
he|pron. 他
no|adv. & adj. 不；没有；不是
not|adv. 不；没有
zero|num. 零
one|num. 一
two|num. 二
three|num. 三
four|num. 四
five|num. 五
six|num. 六
seven|num. 七
eight|num. 八
nine|num. 九
telephone|n. 电话； 电话机
number|n. 号码；数字
phone|n. 电话；电话机
telephone number| 电话号码
first|adj. 第一
first name|名字
last|adj. 最后的；末尾的
last name|姓
friend|n. 朋友
china|中国
middle|adj. 中间的 n.中间
school|n. 学校
middle school|中学；初中
his|pron. 他的
sister|n. 姐；妹
mother|n. 母亲；妈妈
father|n. 父亲；爸爸
parent|n. 父（母）亲
brother|n. 兄；弟
grandmother|n. （外）祖母；奶奶；外婆；姥姥
grandfather|n. （外）祖父；爷爷；外公；姥爷
grandparent|n. 祖父(母)；外祖父（母）
family|n. 家；家庭
those|pron. 那些
who|pron. 谁；什么人
oh|interj. 哦；啊
these|pron. 这些
they|pron. 他（她、它）们
well|interj. 嗯；好吧
have|v. 经受；经历
day|n. 一天；一日；白天
bye|interj.  再见
son|n. 儿子
cousin|n. 堂兄（弟、姊、妹）；表兄（弟、姊、妹）
grandpa|n. （外）祖父；爷爷； 外公；姥爷
mom|n. （=mum）妈妈
aunt|n. 姑母；姨母；伯母；婶母；舅母
grandma|n. （外）祖母；奶奶；外婆；姥姥
dad|n. 爸爸
uncle|n. 舅父；叔父；伯父；姑父；姨父
daughter|n. 女儿
here|adv.（用以介绍某人或某物）这就是；在这里
photo|n. 照片
