guitar|n. 吉他
sing|v. 唱歌
swim|v. & n. 游泳
dance|v. 跳舞 n. 舞蹈
draw|v. 画
chess|n. 国际象棋
play chess|下国际象棋
speak|v. 说（某种语言）；说话
join|v. 参加；加入
club|n. 俱乐部；社团
be good at|擅长于……
tell|v. 讲述；告诉
story|n. 故事；小说
write|v. 写作；写字
show|n. 演出；节目 v. 给……看；展示
or|conj. 或者；也不（用于否定句）
talk|v. & n. 说话；交谈
talk to|跟……说话
kung fu|n. （中国）功夫
drum|n. 鼓
play the drum|敲鼓
piano|n. 钢琴
play the piano|弹钢琴
violin|n. 小提琴
also|adv. 也； 而且
people|n. 人；人们
home|n. 家；活动本部 adv. 到家；在家
make|v. 使成为；制造
make friends|结交朋友
today|adv. 在今天
center|n.（=centre）中央；中心
weekend|n. 周末
on the weekend|（在）周末
teach|v. 教；讲授
musician|n. 音乐家
play the violin|拉小提琴
be good with|善于应付……的；对……有办法
help someone with something|在某方面帮助（某人）
up|adv. 向上
get up|起床；站起
dress|v. 穿衣服 n. 连衣裙
get dressed|穿上衣服
brush|v. 刷；刷净 n. 刷子
tooth|n. （pl. teeth）牙齿
shower|n. & v. 淋浴 n. 淋浴器（间）
take a shower|洗淋浴
usually|adv. 通常地；一般地
forty|num. 四十
wow|interj.（表示惊奇或敬佩）哇；呀
never|adv. 从不,绝不
early|adv.&adj. 早（的）
fifty|num. 五十
job|n. 工作；职业
work|v. & n. 工作
station|n. 电（视）台；车站
Radio Station|广播电台
o'clock|adv. （表示整点）……点钟
night|n. 晚上；夜晚
funny|adj. 奇怪的；滑稽好笑的
exercise|v. & n. 锻炼；练习
on weekends|（在）周末
best|adj. 最好的 adv. 最；最好地
group|n. 组；群
half|n. & pron. 一半；半数
past|prep. 晚于；过（时间） adj. 过去的
quarter|n. 一刻钟；四分之一
homework|n. 家庭作业
run|v. 跑；奔
clean|v. 打扫；弄干净 adj. 干净的
walk|n. & v. 行走；步行
take a walk|散步；走一走
quickly|adv. 很快地
either|conj. 或者 adv. 也（用在否定词组后）
either or|要么……要么……；或者……或者……·
lot|pron. 大量；许多
lots of|大量；许多
sometimes|adv. 有时
taste|v. 有……的味道；品尝 n. 味道；滋味
life|n. （pl. lives）生活；生命
do homework|做作业
get to|到达
train|n. 火车
bus|n. 公共汽车
subway|n. 地铁
ride|v. 骑 n. 旅程
bike|n. 自行车
sixty|num. 六十
seventy|num. 七十
eighty|num. 八十
ninety|num. 九十
hundred|num. 一百
minute|n. 分钟
far|adv.&adj. 远；远的
kilometer|n. 千米；公里
new|adj. 新的；刚出现的
every|adj. 每一；每个
every day|每天
by|prep. （表示方式）乘（交通工具）
by bike|骑自行车
drive|v. 开车
car|n. 小汽车；轿车
live|v. 居住；生活
stop|n. 车站；停止
think of|认为；想起
cross|v. 横过；越过
river|n. 河；江
many|adj. & pron. 许多
village|n. 村庄；村镇
between|prep. 介于……之间
bridge|n. 桥
boat|n. 小船
ropeway|n.索道
year|n.年；岁
afraid|adj. 害怕；畏惧
like|prep. 像；怎么样
villager|n. 村民
leave|v. 离开；留下
dream|n. 梦想；睡梦 v. 做梦
true|adj. 真的；符合事实的
come true|实现；成为现实
take the subway|乘地铁
ride a bike|骑自行车
rule|n. 规则；规章
arrive|v. 到达
be on time|准时
hallway|n. 走廊；过道
hall|n. 大厅, 礼堂
dining hall|餐厅
listen|v. 听，倾听
listen to|听······
fight|v. & n. 打架；战斗
sorry|adj. 抱歉的；难过的；惋惜的
outside|adv. 在外面 adj. 外面的
wear|v. 穿；戴
important|adj. 重要的
bring|v. 带来；取来
have to|必须, 不得不
uniform|n. 校服；制服
quiet|adj. 安静的
out|adv. 外出
go out|外出（娱乐）
practice|v. & n. 练习
dish|n. 碟；盘
do the dishes|清洗餐具
before|prep. & conj. 在…以前 adv. 以前
make one's bed|铺床
dirty|adj. 脏的
kitchen|n. 厨房
more|adj. & pron. 更多（的）
noisy|adj. 吵闹的
relax|v. 放松；休息
read|v. 读；阅读
terrible|adj. 非常讨厌的；可怕的
feel|v. 感受；觉得
strict|adj. 严格的；严厉的
remember|v. 记住；记起
follow|v. 遵循； 跟随
luck|n. 幸运；运气
keep|v. 保持； 保留
hair|n. 头发；毛发
learn|v. 学习；学会
New York|纽约
be strict with|（对某人）要求严格
follow the rules|遵守规则
panda|n. 熊猫
zoo|n. 动物园
tiger|n. 老虎
elephant|n. 大象
koala|n. 树袋熊；考拉
lion|n. 狮子
giraffe|n. 长颈鹿
animal|n. 动物
cute|adj. 可爱的；机灵的
lazy|adj. 懒散的；懒惰的
smart|adj. 聪明的
beautiful|adj. 美丽的；美好的
scary|adj. 吓人的；恐怖的
kind|n. 种类
kind of|稍微；有点儿
Australia|n. 澳大利亚
south|adj. 南方的 n. 南,南方
Africa|n. 非洲
South Africa|南非
pet|n. 宠物
leg|n. 腿
cat|n. 猫
sleep|v. & n. 睡觉
friendly|adj. 友好的
shy|adj. 羞怯的；腼腆的
save|v. 救；救助
symbol|n. 象征
flag|n. 旗；旗帜
forget|v. 忘记；遗忘
get lost|迷路
place|n. 地点；位置
water|n. 水
danger|n. 危险
cut|v. 砍；切
down|adv. （坐、躺、倒）下 prep. 向下；沿着
cut down|砍倒
tree|n. 树
kill|v. 杀死；弄死
ivory|n. 象牙
over|prep. 超过；多于；在……上方
Thailand|n.泰国
Thai|adj. & n. 泰国人（的），泰语（的）
in danger|处于（极大）危险之中
be made of|由......制成的
newspaper|n. 报纸
use|v. 使用；运用
soup|n. 汤
wash|v. 洗
movie|n. 电影
just|adv. 只是；恰好
eat out|出去吃饭
house|n. 房子
drink|v. 喝 n. 饮料
tea|n. 茶；茶叶
tomorrow|adv. 在明天 n. 明天；未来
pool|n. 游泳池；水池
shop|v. 购物 n. 商店
supermarket|n. 超市
man|n. 男人；人
race|n. 竞赛
host|n. 主人；东道主
study|v. & n. 学习；研究
state|n. 州
the United States|美国，美利坚合众国
American|adj. 美国的；美洲的 n. 美国人；美洲人
dragon|n. 龙
Dragon Boat Festival|端午节
any|adj. 任何的；任一的 pron. 任何；任一
other|adj. 另外的；其他的 pron. 另外的人（或物）
young|adj. 幼小的；年轻的
child|n. 儿童 (pl.children)
miss|v. 怀念；想念；错过
wish|v. 希望
delicious|adj. 可口的；美味的
still|adv. 还；仍然
living room|客厅
go to the movies|去电影院
rain|v. 下雨 n. 雨水
windy|adj. 多风的
cloudy|adj. 多云的
sunny|adj. 晴朗的
snow|v. 下雪 n. 雪
weather|n. 天气
cook|v. 做饭
bad|adj. 坏的；糟的
park|n. 公园
message|n. 信息；消息
take a message|捎个口信；传话
him|pron. 他（he的宾格）
could|modal v. 能；可以
back|adv. 回来；回原处
problem|n. 困难；难题
right now|此刻；马上
again|adv. 再一次；又一次
