anyone|pron. 任何人
anywhere|adv. 在任何地方
wonderful|adj. 精彩的；绝妙的
few|adj. & pron. 不多；很少
quite a few|相当多；不少
most|adj., adv. & pron. 最多；大多数
something|pron. 某事；某物
nothing|pron. 没有什么；没有一件东西
everyone|pron. 每人；人人；所有人
of course|当然；自然
myself|pron. 我自己；我本人
yourself|pron.  你自己；您自己
hen|n. 母鸡
pig|n. 猪
seem|v. 好像；似乎；看来
bored|adj. 厌倦的；烦闷的
someone|pron. 某人
diary|n. 日记；记事簿
enjoyable|adj. 有乐趣的；令人愉快的
activity|n. 活动
decide|v. 决定；选定
try|v. & n. 尝试；设法；努力
paragliding|n. 滑翔伞运动
feel like|给……的感觉；感受到
bird|n. 鸟
bicycle|n. 自行车；脚踏车
building|n. 建筑物；房子
trader|n. 商人
wonder|v. 想知道；琢磨
difference|n. 差别；差异
top|n. 顶部；表面
wait|v. 等待；等候
umbrella|n. 伞；雨伞
wet|adj. 湿的；潮湿的；下雨的
because of|因为
below|prep. & adv. 在……下面；到……下面
enough|adj. & adv. 足够的（地）；充足的（地）；充分的（地）
hungry|adj. 饥饿的
as|adv. 像……一样；如同 conj. 当……时；如同
hill|n. 小山,；山丘
duck|n. 鸭
dislike|v. & n. 不喜欢（的事物）；厌恶（的事物）
Central Park|中央公园（美国纽约）
Hong Kong|香港（中华人民共和国特别行政区）
Malaysia|马来西亚
Malaysian|adj. 马来西亚的 n. 马来西亚人
Georgetown|乔治市（马来西亚）
Tian'anmen Square|天安门广场
the Palace Museum|故宫博物院
housework|n. 家务劳动；家务事
hardly|adv. 几乎不；几乎没有
ever|adv. 在任何时候；从来；曾经
hardly ever|几乎从不
once|adv. 一次；曾经
twice|adv. 两次；两倍
Internet|n.（国际）互联网；因特网
program|n. (=programme) 节目
full|adj. 忙的；满的；充满的
swing|n. 摆动；秋千 v. （使）摆动；摇摆
maybe|adv. 大概；或许；可能
least|adv. 最小；最少 adj. & pron. 最小的；最少的
at least|至少；不少于；起码
junk|n. 无用的东西；无价值的东西
junk food|垃圾食品
coffee|n. 咖啡
health|n. 健康；人的身体（或精神）状态
result|n. 结果；后果
percent|n.  百分之……
online|adj. & adv. 在线（的）；联网（的）
television|n. 电视节目；电视机
although|conj. 虽然；尽管；即使
through|prep. 以；凭借；穿过
mind|n. 头脑；心智
body|n. 身体
such|adj. & pron. 这样的；那样的；类似的
such as|例如；像……这样
together|adv. 在一起；共同
die|v. 消失；灭亡；死亡
writer|n. 作者；作家
dentist|n. 牙科医生
magazine|n. 杂志；期刊
however|adv. 然而；不过
than|prep. & conj.（用以引出比较的第二部分）比
more than|多于
almost|adv. 几乎；差不多
none|pron. 没有一个；毫无
less|adv. 较少；较小 adj. & pron. 较少的；更少的
less than|少于
point|n. 得分；点 v. 指；指向
outgoing|adj. 爱交际的；友好的；外向的
both|adj. & pron. 两个；两个都
better|adj. & adv. 较好的（地）；更好的（地）
quietly|adv. 轻声地；轻柔地；安静地
hard-working|adj. 工作努力的；辛勤的
competition|n. 比赛；竞赛；竞争
fantastic|adj. 极好的；了不起的
which|pron. & adj. 哪一个；哪一些
clearly|adv. 清楚地；清晰地；明白地
win|v.  获胜；赢；赢得
though|adv. 不过；可是；然而 conj. 虽然；尽管；不过
talented|adj. 有才能的；有才干的
truly|adv. 真正；确实
care|v. 在意；担忧；关心
care about|关心；在意
laugh|v. 笑；发笑 n. 笑声
serious|adj. 严肃的；稳重的
mirror|n. 镜子
kid|n. 小孩；年轻人
as long as|只要；既然
necessary|adj. 必需的；必要的
be different from|与……不同；与……有差异
bring out|使显现；使表现出
grade|n. 成绩等级；评分等级
should|modal v. 应该；应当；可以
the same as|和……相同；与……一致
saying|n. 谚语；格言；警句
reach|v. 伸手；到达；抵达
hand|n. 手
touch|v. 感动；触摸
heart|n. 内心；心脏
fact|n. 现实；事实
in fact|确切地说；事实上；实际上
break|v. （使）破；裂；碎；损坏
arm|n. 手臂；上肢
share|v. 分享；共享；共用；分摊
loud|adj. 响亮的；大声的
similar|adj. 相像的；类似的
be similar to|与……相像的、类似的
primary|adj. 最初的；最早的
primary school|小学
information|n. 信息；消息
theater|n.戏院；剧场
comfortable|adj. 使人舒服的；舒适的
seat|n. 座位；坐处（如椅子等）
screen|n. 银幕；屏幕
close|adj. （在空间、时间上）接近
ticket|n. 票；入场券
worst|adj. & adv. 最差（的）；最坏（的）；最糟（的）
cheaply|adv. 便宜地；低廉地
song|n. 歌；歌曲
DJ|n. （电台、电视台、俱乐部的）音乐节目主持人
choose|v.  选择；挑选
carefully|adv. 细致地；小心地；谨慎地
reporter|n. 记者
so far|到目前为止；迄今为止
fresh|adj. 新鲜的；清新的
comfortably|adv. 舒服地；舒适地
worse|adj. & adv. 更差（的）；更坏（的）；更糟（的）
service|n. 接待；服务
pretty|adv. 相当；十分；很 adj. 漂亮的
menu|n. 菜单
act|v. 扮演 n. 表演者
meal|n. 早（或午、晚）餐；一餐所吃的食物
creative|adj. 有创造力的；创造性的
performer|n. 表演者；演员
talent|n. 天资；天赋
magician|n. 魔术师
all kinds of|各种类型的；各种各样的
beautifully|adv. 美好地；漂亮地
be up to|是……的职责；由……决定
role|n. 作用；职能；角色
play a role|发挥作用；有影响
winner|n. 获胜者；优胜者
prize|n. 奖；奖品；奖金
everyone|pron. 每人；人人；所有人
make up|编造（故事、谎言等）
example|n. 实例；范例
for example|例如
poor|adj. 贫穷的；清贫的
seriously|adv. 严重地；严肃地；认真地
take seriously|认真对待……
give|v.  提供；给
crowded|adj. 人多的；拥挤的；挤满的
have something in common|有相同特征；（想法、兴趣等方面）相同
sitcom|n.  情景喜剧
news|n. 新闻节目；新闻
soap opera|肥皂剧
mind|v. 介意；对（某事）烦恼
stand|v.  忍受；站立
educational|adj. 教育的；有教育意义的
plan|v. & n. 打算；计划
hope|v. & n. 希望
find out|查明；弄清
discussion|n. 讨论；商量
happen|v. 发生；出现
expect|v. 预料；期待
joke|n. 笑话；玩笑
comedy|n. 喜剧；喜剧片
meaningless|adj. 毫无意义的；意思不明确的
action|n. 行动
action movie|动作影片
cartoon|n. 动画片；卡通片
culture|n. 文化；文明
famous|adj. 著名的；出名的
appear|v. 出现
become|v.  开始变得；变成
rich|adj. 富有的
successful|adj. 获得成功的；有成就的
might|modal v. 可能；可以
main|adj. 主要的；最重要的
reason|n. 原因；理由
common|adj. 普通的；常见的
film|n.  电影
unlucky|adj. 不幸的；不吉利的
lose|v.  失去；丢失
girlfriend|n. 女朋友
ready|adj. 愿意的；准备好的
be ready to|准备好（做某事）；愿意（做某事）
character|n. 人物；角色
simple|adj. 简单的；易做的
dress up|装扮；乔装打扮
take place|代替；替换
army|n. 陆军；陆军部队
do a good job|干得好
Mickey Mouse|米老鼠
Hollywood|好莱坞；美国电影业
grow up|长大；成熟；成长
computer programmer|计算机程序设计员；编程人员
cook|n. 厨师 v. 烹饪；煮
doctor|n. 医生
engineer|n. 工程师
violinist|n. 小提琴手
driver|n. 驾驶员；司机
pilot|n. 飞行员
pianist|n. 钢琴家
scientist|n. 科学家
make sure|确保；查明
college|n. 学院；大学；高等专科学校
education|n. 教育
medicine|n. 药；医学
university|n. （综合性）大学；高等学府
London|伦敦
article|n. 文章；论文
send|v.  邮寄；发送
resolution|n. 决心；决定
team|n. 队；组
foreign|adj. 外国的
able|adj. 能够
be able to|能够做某事
question|v. 表示疑问；怀疑；提问；质询
meaning|n. 意义；意思
discuss|v. 讨论；商量
promise|n. 承诺；诺言 v. 许诺；承诺
beginning|n. 开头；开端
at the beginning of|在……开始
improve|v. 改造；改善
write down|写下；记录下
physical|adj. 身体的
themselves|pron. 他（她、它）们自己
have to do with|关于；与……有关系
self-improvement|n. 自我改进；自我提高
take up|（尤指为消遣）学着做；开始做
hobby|n. 业余爱好
paint|v. 用颜料画；在……上刷油漆
weekly|adj. & adv. 每周的（地）
schoolwork|n. 学校作业；功课
own|adj. & pron. 自己的；本人的
personal|adj. 个人的；私人的
relationship|n. 关系；联系
paper|n. 纸；纸张
pollution|n. 污染；污染物
prediction|n. 预言；预测
future|n. 将来；未来
pollute|v. 污染
environment|n. 环境
planet|n. 行星
earth|n. 地球；世界
plant|v. 种植 n. 植物
part|n. 部分
play a part|参与；发挥作用
peace|n. 和平
sea|n. 海；海洋
build|v.  建筑；建造
sky|n. 天空
astronaut|n. 宇航员；航天员
apartment|n. 公寓套房
rocket|n. 火箭
space|n. 太空；空间
space station|太空站；宇宙空间站
human|adj. 人的 n. 人
servant|n. 仆人
dangerous|adj. 有危险的；不安全的
already|adv. 已经；早已
factory|n. 工厂
over and over again|多次；反复地
Japan|日本
believe|v. 相信；认为有可能
disagree|v. 不同意；持不同意见；有分歧
even|adv. 甚至；连；愈加
agree|v. 同意；赞成；应允
hundreds of|许多；大量
shape|n. 形状；外形
