gate|n. 大门
by|prep. (表示方式,如乘车等);按照 adv. 经过
subway|(=underground BrE) n. 地铁
always|adv. 总是,一直
come on|快点儿;加油;来吧
on foot|步行
plane|n. 飞机
train|n. 火车 v. 培训
ship|n. (大)船,舰
boat|n. 小船,舟
weekday|n. 工作日
early|adj. 早的;提早的 adv. 早地;提早
bird|n. 鸟
catch|v. 捉住;接住;染疾
worm|n. 软体虫
sometimes|adv. 有时
seldom|adv. 很少
walk|v. & n. 步行;散步
never|adv. 从不
ride|v. 骑(自行车,马等)
park|n. 公园 v. 停(车)
watch|v. 观看;当心 n. 手表
TV|(=television) n. 电视
watch TV|看电视
soccer|(=football BrE) n. 足球(运动)
movie|(=film BrE) n. 电影
begin|v. 开始
at school|在学校;在上课
after|prep. 在...后 conj. 在...以后
bed|n. 床
basketball|n. 篮球
swim|v. & n. 游泳
listen|v. (注意地) 听
music|n. 音乐
library|n. 图书馆
week|n. 星期, 周
once|adv. 一次;曾经 conj. 一旦
twice|adv. 两次;两倍
great|adj. 伟大的;好极的
wall|n. 墙
the Great Wall|长城
life|n. 生活;生命
American|adj. 美国的 n. 美国人
or|conj. 或者;否则
over|adv. 结束;穿过;多于 prep. 在…上面
more|det. 更多的 adv. 更多
talk|v. & n. 谈话
make|v. 做,制造; 使成为
card|n. 卡片,贺卡
boring|adj. 没趣的,无聊的
soon|adv. 很快,马上
classroom|n. 教室
playground|n. 操场
lab|(=laboratory) n. 实验室
computer|n. 计算机
room|n. 房间;空间
hall|n. 大厅,礼堂
dining hall|餐厅
gym|(=gymnasium) n. 体育馆,健身房
building|n. 建筑物,楼房
swimming|n. 游泳
pool|n. 水池,水塘
clean|v. 使…干净 adj. 干净的
do some cleaning|打扫
run|v. 跑
dance|v. & n. 跳舞
borrow|v. 借,借用
workbook|n. 练习册
course|n. 过程,课程
of course|当然
use|v. 用,使用 n. 用,使用
look for|寻找
shelf|n. 架子
keep|v. 保存;保持
must|modal v. 必须
return|v. 归还;回来
on time|准时,按时
newspaper|n. 报纸
lost and found|失物招领处
money|n. 钱
wallet|n. 钱包
around|adv. & prep. 到处,围绕
few|adj. 很少,不多 pron. 很少人(或事物,地方)
a few|一些
game|n. 比赛;运动;游戏
sit|v. 坐
ping-pong|n. 乒乓球运动
lesson|n. 课
